DEPARTAMENTO,ID MUNICIPIO,MUNICIPIO,ID LOCALIDAD,LOCALIDAD,AÑO SERVICIO,MES SERVICIO,ENERGÍA ACTIVA,ENERGÍA REACTIVA,POTENCIA MÁXIMA,DÍA DE DEMANDA MÁXIMA,FECHA DE DEMANDA MÁXIMA,PROMEDIO DIARIO EN HORAS,ID DEPARTAMENTO,HORA DEMANDA MÁXIMA,AÑO
CHOCO,27099.0,BOJAYÁ (BELLAVISTA),27099002.0,LA LOMA DE BOJAYÁ (BOJAYÁ (BELLAVISTA) - CHOCÓ),2020.0,1.0,13519,5124.0,83.2,domingo,2020-01-17 20:45:00,7.42,27.0,20:45:00,
CHOCO,27099.0,BOJAYÁ (BELLAVISTA),27099008.0,PUERTO CONTO (BOJAYÁ (BELLAVISTA) - CHOCO),2020.0,1.0,4355,1136.0,45.6,viernes,2020-01-17 20:45:00,3.35,27.0,20:45:00,
CHOCO,27250.0,EL LITORAL DEL SAN JUAN,27250000.0,SANTA GENOVEVA DE DOCORDÓ (EL LITORAL DEL SAN JUAN - CHOCÓ),2020.0,1.0,70549,36589.0,186.25,lunes,2020-01-17 20:45:00,17.12,27.0,20:45:00,
CHOCO,27425.0,MEDIO ATRATO (BETÉ),27425000.0,BETÉ (MEDIO ATRATO (BETÉ) - CHOCÓ),2020.0,1.0,7336,2747.0,84.0,viernes,2020-01-17 20:45:00,4.4,27.0,20:45:00,
CHOCO,27495.0,NUQUÍ,27495001.0,ARUSÍ (NUQUÍ - CHOCO),2020.0,1.0,10287,4875.0,51.2,lunes,2020-01-17 20:45:00,8.05,27.0,20:45:00,
CHOCO,27495.0,NUQUÍ,27495912.0,COMUNIDAD INDÍGENA DE PANGUÍ - EL YUCAL (NUQUÍ - CHOCÓ),2020.0,1.0,5875,1484.0,11.21,lunes,2020-01-17 20:45:00,19.12,27.0,20:45:00,
CHOCO,27495.0,NUQUÍ,27495000.0,NUQUÍ (NUQUÍ - CHOCÓ),2020.0,1.0,198811,62901.0,482.24,lunes,2020-01-17 20:45:00,19.34,27.0,20:45:00,
CHOCO,27001.0,QUIBDÓ,27001029.0,TAGACHI (QUIBDÓ - CHOCÓ),2020.0,1.0,4956,1100.0,70.49,miércoles,2020-01-17 20:45:00,3.36,27.0,20:45:00,
CHOCO,27745.0,SIPÍ,27745000.0,SIPÍ (SIPÍ - CHOCO),2020.0,1.0,10872,3028.0,74.8,miércoles,2020-01-17 20:45:00,5.42,27.0,20:45:00,
CHOCO,27800.0,UNGUÍA,27800001.0,BALBOA (UNGUÍA - CHOCÓ),2020.0,1.0,16481,6458.0,89.87,sábado,2020-01-17 20:45:00,7.41,27.0,20:45:00,
CHOCO,27800.0,UNGUÍA,27800005.0,TITUMATE (UNGUÍA - CHOCÓ),2020.0,1.0,9739,4014.0,69.78,miércoles,2020-01-17 20:45:00,5.4,27.0,20:45:00,
CHOCO,27800.0,UNGUÍA,27800000.0,UNGUÍA (UNGUÍA - CHOCÓ),2020.0,1.0,257893,93064.0,779.24,sábado,2020-01-17 20:45:00,15.43,27.0,20:45:00,
GUAINIA,94343.0,BARRANCOMINAS,94343000.0,BARRANCOMINAS (BARRANCOMINAS - GUAINÍA),2020.0,1.0,39131,13849.0,154.14,miércoles,2020-02-01 18:45:00,11.08,94.0,18:45:00,
GUAINIA,94001.0,INÍRIDA,94001000.0,INÍRIDA (INÍRIDA - GUAINÍA),2020.0,1.0,1643134,551952.0,3193.52,martes,2020-02-01 18:45:00,24.0,94.0,18:45:00,
GUAVIARE,95200.0,MIRAFLORES,95200000.0,MIRAFLORES (MIRAFLORES - GUAVIARE),2020.0,1.0,78171,27605.0,201.08,miércoles,2020-02-15 19:15:00,17.36,95.0,19:15:00,
LA GUAJIRA,44847.0,URIBIA,44847012.0,NAZARETH (URIBIA - LA GUAJIRA),2020.0,1.0,15660,7303.0,213.98,miércoles,2020-01-11 19:30:00,3.51,44.0,19:30:00,
MAGDALENA,47189.0,CIÉNAGA,47189018.0,PALMOR (CIÉNAGA - MAGDALENA),2020.0,1.0,95888,36336.0,188.48,sábado,2020-01-22 19:00:00,23.36,47.0,19:00:00,
META,50325.0,MAPIRIPÁN,50325000.0,MAPIRIPÁN (MAPIRIPÁN - META),2020.0,1.0,133744,56337.0,288.64,viernes,2020-01-08 18:30:00,23.37,50.0,18:30:00,
NARIÑO,52250.0,EL CHARCO,52250023.0,BAZÁN (EL CHARCO - NARIÑO),2020.0,1.0,16316,7561.0,105.6,viernes,2020-01-31 18:45:00,5.59,52.0,18:45:00,
NARIÑO,52250.0,EL CHARCO,52250022.0,EL CUIL PUEBLO NUEVO (EL CHARCO - NARIÑO),2020.0,1.0,5358,1798.0,35.28,sábado,2020-01-31 18:45:00,6.15,52.0,18:45:00,
NARIÑO,52250.0,EL CHARCO,52250007.0,SAN JOSÉ DEL TAPAJE (EL CHARCO - NARIÑO),2020.0,1.0,13262,3324.0,96.0,jueves,2020-01-31 18:45:00,5.4,52.0,18:45:00,
NARIÑO,52390.0,LA TOLA,52390013.0,AMÁRALES (LA TOLA - NARIÑO),2020.0,1.0,5064,1180.0,70.34,martes,2020-01-31 18:45:00,2.53,52.0,18:45:00,
NARIÑO,52390.0,LA TOLA,52390003.0,LA VIGÍA DE LA MAR (LA TOLA - NARIÑO),2020.0,1.0,4676,1440.0,31.96,lunes,2020-01-31 18:45:00,6.08,52.0,18:45:00,
NARIÑO,52390.0,LA TOLA,52390009.0,MULATOS (LA TOLA - NARIÑO),2020.0,1.0,4243,2448.0,37.7,martes,2020-01-31 18:45:00,5.56,52.0,18:45:00,
