DEPARTAMENTO,ID MUNICIPIO,MUNICIPIO,ID LOCALIDAD,LOCALIDAD,AÑO SERVICIO,MES SERVICIO,ENERGÍA ACTIVA,ENERGÍA REACTIVA,POTENCIA MÁXIMA,DÍA DE DEMANDA MÁXIMA,FECHA DE DEMANDA MÁXIMA,PROMEDIO DIARIO EN HORAS,ID DEPARTAMENTO,HORA DEMANDA MÁXIMA,CATEGORIA_ZNI
CAUCA,19809,TIMBIQUI,19809009,SANTA ROSA DE SAIJA (TIMBIQUÍ - CAUCA),2020,2,1737,424,27.48,Miércoles,2020-01-15 18:45:00,2.29,19,18:45:00,0
CHOCO,27006,ACANDI,27006000,ACANDÍ (ACANDÍ - CHOCÓ),2020,2,388026,175431,965.36,Viernes,2020-01-17 20:45:00,18.47,27,20:45:00,2
CHOCO,27006,ACANDI,27006003,CAPURGANÁ (ACANDÍ - CHOCO),2020,2,234420,96512,570.24,Viernes,2020-01-17 20:45:00,18.36,27,20:45:00,2
CHOCO,27025,ALTO BAUDO (PIE DE PATO),27025000,CIUDAD BAUDÓ - PIE DE PATO (ALTO BAUDÓ - CHOCÓ),2020,2,36727,9888,143.18,Viernes,2020-01-17 20:45:00,15.04,27,20:45:00,0
CHOCO,27075,BAHIA SOLANO (MUTIS),27075000,CIUDAD MUTIS (BAHÍA SOLANO - CHOCÓ),2020,2,605709,189638,1246.96,Viernes,2020-01-17 20:45:00,23.52,27,20:45:00,2
CHOCO,27075,BAHIA SOLANO (MUTIS),27075001,CUPICA (BAHÍA SOLANO - CHOCÓ),2020,2,57082,24304,138.34,Viernes,2020-01-17 20:45:00,23.36,27,20:45:00,2
CHOCO,27075,BAHIA SOLANO (MUTIS),27075002,EL VALLE (BAHÍA SOLANO - CHOCÓ),2020,2,140237,65924,327.1,Viernes,2020-01-17 20:45:00,23.42,27,20:45:00,2
CHOCO,27077,BAJO BAUDO (PIZARRO),27077000,PIZARRO (BAJO BAUDÓ (PIZARRO) - CHOCÓ),2020,2,160302,71590,481.54,Viernes,2020-01-17 20:45:00,17.35,27,20:45:00,2
CHOCO,27099,BOJAYA (BELLAVISTA),27099000,BELLAVISTA (BOJAYÁ (BELLAVISTA) - CHOCÓ),2020,2,89554,33314,220.95,Viernes,2020-01-17 20:45:00,18.14,27,20:45:00,2
CHOCO,27099,BOJAYA (BELLAVISTA),27099002,LA LOMA DE BOJAYÁ (BOJAYÁ (BELLAVISTA) - CHOCÓ),2020,2,13764,5166,83.2,Viernes,2020-01-17 20:45:00,7.42,27,20:45:00,0
